QueryText,Count,Proposed_Category
TEST CALL,74,Irrelevant/Noise
HOW WE CAN COLLECT SOIL SAMPLE,38,Crop Protection & Inputs
gaay ka dudh kam ho raha hai,25,Animal Husbandry
FARMER WANT INFORMATION ABOUT WHERE CAN GET BEE BOX,21,Animal Husbandry
CALL DISCONNECTED,19,Irrelevant/Noise
HOW TO ERADICATE GRASS IN AN OPEN FIELD,19,Unclassified
INFORMATION REGARDING SOWING TIME OF ALOEVERA ,17,Unclassified
INFORMATION REGARDING CONTROL OF MITES IN HONEY BEES,16,Animal Husbandry
Farmer asked query on Weather,16,Weather & Climate
INFORMATION REGARDING KISSAN CREDIT CARD,15,Government Schemes
PASHU DUDH KAM DE RAHA HAI,14,Animal Husbandry
INFORMATION REGARDING CONTROL OF CUT WORM IN SOIL,14,Crop Protection & Inputs
INFORMATION REGARDING HOW TO TEST BORDEAUX MIXTURE,13,Irrelevant/Noise
INFORMATION REGRDING SHORTAGE OF DAP,13,Crop Protection & Inputs
INFORMATION REGARDING CONTROL OF TERMITES IN ORCHIDS,13,Unclassified
INFORMATION REGARDING SUBSIDY OF TRACTOR ,13,Government Schemes
about emu bird,12,Animal Husbandry
INFORMATION REGARDING KISSAN CREDIT CARD ,12,Government Schemes
FROM WHERE I CAN HAVE THE POPULAR TREES,11,Unclassified
bhains dudh kam de rahi hai,11,Animal Husbandry
HOW TO CONTROL APHIDS IN TULSI,11,Unclassified
gaay ke sharir me athali hua hai,11,Unclassified
INFORMATION REGARDING SOIL TEST ,10,Crop Protection & Inputs
ASKING ABOUT THE CONTROL MEASURE TO CONTROL DAMPING OFF DISEASE INFESTATION IN HIS FLOWER NURSERY FIELD,10,Crop Protection & Inputs
poultry,10,Animal Husbandry
INFORMATION REGARDING CONTROL OF TERMITE IN LAWN,9,Unclassified
INFORMATION REGARDING SOWING TIME OF ASHWAGANDA,8,Unclassified
INFORMATION REGARDING TRANING OF VERMICULTURE,8,Unclassified
emu rearing,8,Animal Husbandry
hen production,7,Animal Husbandry
information regarding emu bird,7,Animal Husbandry
INFORMATION REGARDING SOWING TIME OF BABY CORN,7,Unclassified
information regarding emu,7,Animal Husbandry
test call,7,Irrelevant/Noise
Garden mein paudho mein deemak lag rahi hai,7,Unclassified
INFORMATION REGARDING CONTROL OF BHANG,7,Unclassified
IN4MATION ON EMMU FARMING,6,Unclassified
 INFORMATION REGARDING SOWING TIME OF ALOEVERA,6,Unclassified
INFORMATION REGARDING PLANTING DISTANCE OF ALOEVERA,6,Unclassified
Farmer asked query on Mandi details,6,Market & Prices
WRONG CALL,6,Irrelevant/Noise
HOW TO CONTROL MITES IN COW,6,Animal Husbandry
HOW TO CONTROL WOOLY APHID IN APPLE ORCHARD,6,Horticulture
ASKING THE SEED RATESPACING AND APPROX YIELD OF DHAINCHA ALSO ASKED THE SOURCE OF SEED FOR BUYING,6,Market & Prices
INFORMATION REGARDING WHEARE I GET POULTRY TRAINING,6,Animal Husbandry
Regarding EMU rearing,5,Animal Husbandry
asked about emu birds rearing,5,Animal Husbandry
FARMER WANTS INFORMATION ABOUT COW IS WEEK GIVING LESS MILK,5,Animal Husbandry
INFORMATION REGARDING RECOMMENDED FERTILIZER DOSE FOR 8 YEARS OLD APPLE ORCHARD,5,Crop Protection & Inputs
WET THE ANIMAL SKING AND COAT WITH WATER AND APPLY  ICHGON ON,5,Animal Husbandry
FARMER WANT INFORMATION ABOUT WHERE CAN GET BEE BOX ,5,Animal Husbandry
CALL DISCONNECT,5,Irrelevant/Noise
HOW TO INCREASE MILK PRODUCTION IN COW,5,Animal Husbandry
INFORMATION REGARDING WEATHER TODAY,5,Weather & Climate
FROM WHERE I CAN HAVE THE POPULAR TREES ,5,Unclassified
INFORMATION REGARDING CONTROL OF WEED FROM OPEN FIELD ,4,Crop Protection & Inputs
ghar me chuhe ho rahe hai,4,Unclassified
HOW TO CONTROL RATS IN FIELD,4,Unclassified
FARMER WANTS TO CONTROL OVER TERMITE IN LAWN,4,Unclassified
ghar me gay ka poushtik ahar kaise taair kare,4,Unclassified
ASKING ABOUT KISAN CREDIT CARD,4,Government Schemes
information about emu rearing,4,Animal Husbandry
HOW TO CONTROL STEM BORER IN APRICOT,4,Crop Protection & Inputs
INFORMATION ABOUT EMU REARING,4,Animal Husbandry
EMU FARMING,4,Animal Husbandry
contact no emu farm,4,Animal Husbandry
information about poultry farm,4,Animal Husbandry
to know about the rainfall status in durg dist ,4,Weather & Climate
contact number of poultry farm,4,Animal Husbandry
murgi palan ke bare me bataia,4,Animal Husbandry
HOW  WE CAN COLLECT SOIL SAMPLE ,3,Crop Protection & Inputs
MURGI PALAN KE BARE MEIN JANKARI CHAHIYE,3,Animal Husbandry
BATER PALAN KI JANKARI AUR TRAINING-CENTER,3,Animal Husbandry
murgi palan ke bare mein jankri chahiye,3,Animal Husbandry
murgi palan ke bare me bataye,3,Animal Husbandry
INFORMATION  REGARDING SOWING TIME OF ALOEVERA ,3,Unclassified
murgi palan ki jankari leni hai,3,Animal Husbandry
CONT NO OF EMU REARING PUNE,3,Animal Husbandry
information regarding emu farm,3,Animal Husbandry
DAMPING OFF DISEASE INFESTATION IN HIS FLOWER NURSERY,3,Crop Protection & Inputs
CONTACT NO OF EMU FARMER ASSOCIATION,3,Animal Husbandry
emu farming,3,Animal Husbandry
INFORMATION REGARDING CONTROL LEAF EATING BEETLES IN ALMONDS ,3,Animal Husbandry
