crop,total_queries,unique_queries,total_clusters,clusters_for_85pct,median_cluster_size,algorithm,top_5_topics
Others,2940539,374056,2000,450,318,K-Means,"['about weather information', 'farmer want information about weather', 'asking about weather information insambal', 'give me weather information', 'mausam ki jankari']"
Paddy Dhan,1007905,179479,2000,647,155,K-Means,"['farmer want information about weather', 'about weather information', 'asking about weather information', 'pls give me weather information', 'mausam ki jankari chahiye']"
Wheat,992538,174034,2000,656,160,K-Means,"['farmer want information about weather', 'information for weather', 'asking about weather info', 'weed control in wheat', 'varieties of wheat']"
Sugarcane Noble Cane,282834,72337,2000,689,49,K-Means,"['farmer want information about weather', 'weather information', 'provide information on nutrient management in sugarcane crop', 'weed management in sugarcane crop', 'early shoot borer in sugarcane']"
Potato,200819,53917,2000,733,38,K-Means,"['farmer want information about weather', 'information about blight disease control in potato crop', 'information about nutrient management in potato crop', 'plant protection in potato', 'weather information']"
Mustard,127773,35837,2000,691,23,K-Means,"['farmer want information about weather', 'varieties of mustard', 'information about varieties of mustard', 'information about nutrient management in mustard crop', 'information about irrigation in mustard crop']"
Mango,118350,44542,2000,825,27,K-Means,"['insect control in mango', 'plant protection in mango', 'insect in mango', 'farmer want information about weather', 'insect problem in mango']"
Paddy (Dhan),117077,20819,2000,489,14,K-Means,"['farmer asked me about sowing time of paddy', 'weed control in paddy', 'insect control in paddy', 'insect in paddy', 'insect control in rice']"
Chillies,84883,29660,2000,787,18,K-Means,"['farmer is asking about weather information', 'leaf curl in chilli', 'insect control in chilli', 'insect in chilli', 'plant protection in chillies']"
Black Gram urd bean,83882,23956,2000,663,14,K-Means,"['farmer want information about weather', 'weather information', 'asking about weather information', 'plese give me weather information', 'insect control in urd']"
Mentha,82397,26044,2000,706,15,K-Means,"['farmer want information about weather', 'weather information', 'weed control in mentha', 'insect in mentha', 'insect control in mentha']"
Maize Makka,76387,20316,2000,579,11,K-Means,"['farmer ask weather information', 'weather information', 'asking about weather information', 'information about of insect control in maize crop', 'varieties of maize']"
Brinjal,66551,20827,2000,661,11,K-Means,"['insect control in brinjal', 'insect in brinjal', 'fruit borer in brinjal', 'farmer asking weather information', 'brinjal mein insect control']"
BovineCowBuffalo,65243,24635,2000,728,12,K-Means,"['information about animal husbandry', 'information in animal', 'information about animal husbandry information', 'any contact number of animal helpline', 'animal problem']"
Tomato,62926,24633,2000,826,14,K-Means,"['asking about weather information', 'plant protection in tomato', 'insect control in tomato', 'leaf curl in tomato', 'insect in tomato']"
Pea Vegetable,52507,19538,1953,742,11,K-Means,"['farmer want information about weather', 'varieties of pea', 'information about nutrient management in pea crop', 'asking about weather information', 'insect control in pea']"
Green Gram Moong Bean Moong,45853,14598,593,5,1,Leiden,"['farmer asked query on weather', 'moong me kida laga hai', 'moong in insect control', 'variety of moong', 'information about varieties of green gram']"
Sunnhemp Patua,45042,11754,555,2,1,Leiden,"['top borer in sugarcane', 'sc ki goph sukh rahi hai', 'sugarcane me fertilizers ki dose', '23272344238123442375 23252368 2348236923102312 2325235223442366 23612376 23322367236023502375 2342236823502325 23542327 2332236623402375 23612376', 'topboror control in sc']"
Bengal Gram GramChick PeaKabuliChana,44677,19651,1965,839,11,K-Means,"['farmer want information about weather', 'weather information', 'plant protection in gram', 'asking weather information', 'please give me weather information']"
Onion,44669,18801,1880,787,11,K-Means,"['asking about weather information', 'variety of onion', 'information about plant protection in onion crop', 'plant protection in onion', 'onion ki patti pili ho rahi hai']"
Groundnut pea nutmung phalli,37658,11229,463,4,1,Leiden,"['farmer asked query on weather', 'information about fertilizer management in groundnut', 'insect control in groundnut', 'mausam ki jankari', 'information about weed control in groundnut crop']"
BhindiOkraLadysfinger,37335,16166,1616,656,10,K-Means,"['farmer ask weather information', 'bhindi me kida laga hai', 'variety of bhindi', 'about weather information', 'variety of okra']"
Pearl Millet BajraBulrush MilletSpiked Millet,35373,10882,459,4,1,Leiden,"['farmer asked query on weather', 'weed control in bajra', 'variety of bajra', 'mausam ki jankari', 'variety of pearl millet']"
Banana,29119,15402,1540,693,10,K-Means,"['farmer want information about weather', 'plant protection in banana', 'information about nutrient management in banana', 'insect problem in banana', 'cultivation in banana']"
Papaya,27132,11764,358,3,1,Leiden,"['variety of papaya', 'papaya ki var', 'plant protection in papaya', 'flower drop in papaya', 'information about fertilizer use in papaya']"
Bottle Gourd ,26468,14163,674,4,1,Leiden,"['insect problem in bottle gourd', 'plant protection in bottle gourd', 'lauki me kida laga hai', 'information about weather forecast of block insindhauli districtshahajahanpur', 'loki me kida laga hai']"
Cauliflower,26217,12280,514,3,1,Leiden,"['insect control in cauliflower', 'gobhi ki variety', 'farmer asked query on weather', 'nutrient management in cauliflower', 'cauliflower ki jankari']"
Indian rapeseed and mustard yellow sarson,25881,8018,441,2,1,Leiden,"['insect in mustard', 'sarso ki variety', 'information about weather forecast of block  in sikandrarao district hathras', 'information of seed registration', 'spray   monocrotophos  2 mllit  of water']"
Pigeon pea red gramarhartur,23067,11330,500,4,1,Leiden,"['arhar me kida laga hai', 'variety of arhar', 'insect problem in pigeon pea', 'information about weather forecast of block in districtjaunpur', 'pod borer in red gram']"
Cucumber,22642,11284,468,4,1,Leiden,"['plant protection in cucumber', 'insect in cucumber', 'kheera ki variety', 'information about weather forecast of block insindhuli districtsitapur', 'kheera me insect lage hai']"
Garlic,21545,9143,340,4,1,Leiden,"['plant protection in garlic', 'information about nutrient management in garlic crop', 'lahsun ki patti jhulas rahi hain', 'information about weather  forecast of blockghiror in district mainpuri', 'garlic ki patti pili ho rahi hai']"
Maize (Makka),20473,3012,115,3,1,Leiden,"['farmer asked query on weather', 'maize ki variety', 'insect in maize', 'makka bo sakte hai kya', 'information regarding to fertilizer in maize crop']"
Lentil Masur,20446,8915,365,4,1,Leiden,"['varieties information of lentil', 'farmer asked query on weather', 'mosam ke bare me jankari de', 'wilt problem in lentil', 'weed problem in lentil']"
Sesame GingellyTilSesamum,18011,7598,399,4,1,Leiden,"['farmer asked query on weather', 'information about sowing time of sesame', 'mausam ki jankari chahiye', 'sowing time of til', 'information about pm fasal bima yojana']"
Sugarcane (Noble Cane),17643,3486,154,4,1,Leiden,"['farmer asked query on weather', 'information about fertilizer management in the sugarcane crop', 'information about the protection measure of pyrilla in sugarcane', 'information about to control of  shoot borer in sugarcane crop', 'information about weed control in sugarcane crop']"
Guava,17214,8910,358,3,1,Leiden,"['fruit borer in guava', 'insect in guava', 'amrud me kiday lag gayay hai', 'information about fertilizer use in guava', 'information about weather forecast of blocksasni in districthathras']"
Bitter Gourd,16866,8439,493,2,1,Leiden,"['insect in bitter gourd', 'insect control in karela', 'information about in weather forecast of block in harraiya district basti', 'leaf curl in bitter gourd', 'information about sowing time of vegetable crop']"
Peas field peas garden peasmatar,14999,6257,324,5,1,Leiden,"['vari of pea', 'pea ka sowing time kya hai', 'insect in pea', 'information about weather', 'information about weather forecast of block gohand in district hamirpur']"
Pigeon pea (red gram/arhar/tur),14960,2365,85,3,1,Leiden,"['insect in arhar', 'arhar variety', 'arhar me kiday lag gayay hai', 'information about variety of pigeon pea crops', 'weed controle of arhar']"
Green Gram (Moong Bean/ Moong),13892,2363,84,4,1,Leiden,"['farmer asked query on weather', 'insect in moong', 'var of moong', 'moong ki variety', 'information about of variety of green gram crop']"
Coriander,13538,6926,272,5,1,Leiden,"['sowing time of coriander', 'dhaniya ki variety', 'plant protection in coriander', 'information about weather forecast of block inmalasa districtkanpur dehat', 'information regarding weed control in coriander crop']"
Bhindi(Okra/Ladysfinger),13526,2763,82,3,1,Leiden,"['insect in okra', 'bhindi ki variety', 'information about the variety of okra crops', 'farmer asked query on weather', 'information regarding the development and growth of ladyfinger crop']"
Lemon,13053,6310,280,3,1,Leiden,"['flower drop in lemon', 'nibu mein fruit droping', 'insect in lemon', 'information about fertilizer use in lemon plant', 'information about gummosis problem in lemon plants']"
Pumpkin,12338,6759,335,3,1,Leiden,"['insect control in pumpkin', 'plant protection in pumpkin', 'kaddu me insect lage hai', 'information about weather forecast of blockkurebhar distsultanpur', 'disconnected call']"
Citrus,12251,6774,347,2,1,Leiden,"['flower dropping in citrus', 'neebu ka ful jhar jata hai', 'give information about nutrient management in citrus', 'tell me about weather information', 'information about the problem of gummosis in citrus']"
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),12009,2308,97,4,1,Leiden,"['insect control of gram', 'gram me insect lage hai', 'wilt in gram crop', 'weed control in gram', 'farmer asked query on weather']"
Radish,11626,5484,308,4,1,Leiden,"['insect control in radish', 'variety of radish', 'radish ki var', 'information about weather forecast of block and district mainpuri', 'information about fertilizer use in radish crop']"
Pointed Gourd,10936,6962,398,2,1,Leiden,"['plant protection in pointed gourd', 'parval me galan hai', 'information about weather forecast of blocksadabad in districthathras', 'disases in palwal', 'provide information on whatsapp number of agriculture department']"
Tobacco,10573,2951,163,2,1,Leiden,"['farmer asked query on weather', 'plant protection in tobacco', 'mausam ki jankari chahiye', 'give information contact number of kvk etah for tobacco crop', 'asked about wheather information']"
Pomegranate,10459,5228,176,2,1,Leiden,"['insect in pomegranate', 'anar ka ful jhar jata hai', 'information about nutrient management in pomegranate', 'tell me  about weather information', '2309234423662352 23252375 234723702354 231023442375 23252375 234823662342 232723672352 2332236623402375 23612376']"
Marigold,10265,6247,361,4,1,Leiden,"['variety of marigold', 'genda ki variety', 'plant protection in marigold', 'give information about of  nutrient management in marigold  crop', 'information about weather forecast in block chunar of district mirzapur']"
Jack Fruit,10218,6134,191,3,1,Leiden,"['plant protection in jack fruit', 'kathal me phal gir raha hai', 'information about control of rhizopus rot in jack fruit', 'jack fruit ka phal gir ja raha hai', 'information about fertilizer use in jack fruit']"
Watermelon,9918,5762,286,3,1,Leiden,"['insect control in watermelon', 'lahi me mahu laga hain', 'watermelon me phal kam a rahe hai', 'please tell me about weather information', 'information about weather forecast of block in districtmainpuri']"
Aonla,9436,5027,296,2,1,Leiden,"['insect control in aonla', 'aonla mein fruit droping', 'information about fertilizer use in aonla', 'information about amla plants not bearing fruits', 'information about weather']"
Soybean bhat,7924,3040,183,4,1,Leiden,"['information about to weather forecast of blockand districtlalitpur', 'sowing time of soyabean', 'soybean ka sowing time ki lankari', 'information about control of insect in soybean crop', 'information about weed control in soybean crop']"
Colocasia Arvi Arbi,7919,4967,348,3,1,Leiden,"['arvi me kida laga hai', 'insect problem in arvi', 'insect problem in colocasia', 'information about in weather forecast of block in kundari district moradabad', 'fungas in chillies']"
Eculeptous,7846,5579,441,4,1,Leiden,"['eculeptous ki ropai kab kare', 'insect control in eculeptous', 'information eucalyptus', 'termite control in eculeptous plant', 'weed  control of eculeptous']"
Mushroom,7712,3293,212,3,1,Leiden,"['information about mushroom cultivation', 'mashroom ki kheti karni hai', 'mushroom ki kheti ki jankari', 'information about contact number of kvk shahjahanpur', 'asking about weather info']"
