QueryText,Count
TEST CALL,74
HOW WE CAN COLLECT SOIL SAMPLE,38
gaay ka dudh kam ho raha hai,25
FARMER WANT INFORMATION ABOUT WHERE CAN GET BEE BOX,21
CALL DISCONNECTED,19
HOW TO ERADICATE GRASS IN AN OPEN FIELD,19
INFORMATION REGARDING SOWING TIME OF ALOEVERA ,17
INFORMATION REGARDING CONTROL OF MITES IN HONEY BEES,16
Farmer asked query on Weather,16
INFORMATION REGARDING KISSAN CREDIT CARD,15
PASHU DUDH KAM DE RAHA HAI,14
INFORMATION REGARDING CONTROL OF CUT WORM IN SOIL,14
INFORMATION REGARDING HOW TO TEST BORDEAUX MIXTURE,13
INFORMATION REGRDING SHORTAGE OF DAP,13
INFORMATION REGARDING CONTROL OF TERMITES IN ORCHIDS,13
INFORMATION REGARDING SUBSIDY OF TRACTOR ,13
about emu bird,12
INFORMATION REGARDING KISSAN CREDIT CARD ,12
FROM WHERE I CAN HAVE THE POPULAR TREES,11
bhains dudh kam de rahi hai,11
HOW TO CONTROL APHIDS IN TULSI,11
gaay ke sharir me athali hua hai,11
INFORMATION REGARDING SOIL TEST ,10
ASKING ABOUT THE CONTROL MEASURE TO CONTROL DAMPING OFF DISEASE INFESTATION IN HIS FLOWER NURSERY FIELD,10
poultry,10
INFORMATION REGARDING CONTROL OF TERMITE IN LAWN,9
INFORMATION REGARDING SOWING TIME OF ASHWAGANDA,8
INFORMATION REGARDING TRANING OF VERMICULTURE,8
emu rearing,8
hen production,7
information regarding emu bird,7
INFORMATION REGARDING SOWING TIME OF BABY CORN,7
information regarding emu,7
test call,7
Garden mein paudho mein deemak lag rahi hai,7
INFORMATION REGARDING CONTROL OF BHANG,7
IN4MATION ON EMMU FARMING,6
 INFORMATION REGARDING SOWING TIME OF ALOEVERA,6
INFORMATION REGARDING PLANTING DISTANCE OF ALOEVERA,6
Farmer asked query on Mandi details,6
WRONG CALL,6
HOW TO CONTROL MITES IN COW,6
HOW TO CONTROL WOOLY APHID IN APPLE ORCHARD,6
ASKING THE SEED RATESPACING AND APPROX YIELD OF DHAINCHA ALSO ASKED THE SOURCE OF SEED FOR BUYING,6
INFORMATION REGARDING WHEARE I GET POULTRY TRAINING,6
Regarding EMU rearing,5
asked about emu birds rearing,5
FARMER WANTS INFORMATION ABOUT COW IS WEEK GIVING LESS MILK,5
INFORMATION REGARDING RECOMMENDED FERTILIZER DOSE FOR 8 YEARS OLD APPLE ORCHARD,5
WET THE ANIMAL SKING AND COAT WITH WATER AND APPLY  ICHGON ON,5
FARMER WANT INFORMATION ABOUT WHERE CAN GET BEE BOX ,5
CALL DISCONNECT,5
HOW TO INCREASE MILK PRODUCTION IN COW,5
INFORMATION REGARDING WEATHER TODAY,5
FROM WHERE I CAN HAVE THE POPULAR TREES ,5
INFORMATION REGARDING CONTROL OF WEED FROM OPEN FIELD ,4
ghar me chuhe ho rahe hai,4
HOW TO CONTROL RATS IN FIELD,4
FARMER WANTS TO CONTROL OVER TERMITE IN LAWN,4
ghar me gay ka poushtik ahar kaise taair kare,4
ASKING ABOUT KISAN CREDIT CARD,4
information about emu rearing,4
HOW TO CONTROL STEM BORER IN APRICOT,4
INFORMATION ABOUT EMU REARING,4
EMU FARMING,4
contact no emu farm,4
information about poultry farm,4
to know about the rainfall status in durg dist ,4
contact number of poultry farm,4
murgi palan ke bare me bataia,4
HOW  WE CAN COLLECT SOIL SAMPLE ,3
MURGI PALAN KE BARE MEIN JANKARI CHAHIYE,3
BATER PALAN KI JANKARI AUR TRAINING-CENTER,3
murgi palan ke bare mein jankri chahiye,3
murgi palan ke bare me bataye,3
INFORMATION  REGARDING SOWING TIME OF ALOEVERA ,3
murgi palan ki jankari leni hai,3
CONT NO OF EMU REARING PUNE,3
information regarding emu farm,3
DAMPING OFF DISEASE INFESTATION IN HIS FLOWER NURSERY,3
CONTACT NO OF EMU FARMER ASSOCIATION,3
emu farming,3
INFORMATION REGARDING CONTROL LEAF EATING BEETLES IN ALMONDS ,3
PUMP PANI NAHI UTHA RAHA HAI,3
enu birds ki jankari,3
contact no of poultry farm,3
Emu farming,3
Test CAll,3
emo palan ki jankari dai,3
availbility of quail,3
ghar mai rake chaval mai kede ho gaye hai,3
Farmer apni crop other state me bechane ke bare me jankari chahta hain,3
asked about rearing of emu birds,3
amu palan,3
INFORMATION REGARDING CONTROL LEAF EATING BEETLES IN ALMONDS,3
Test Call,3
murgi palan ke bare mein jankri de,2
TO KNOWN ABOUT TRAINING OF POULTRY CULTIVATION,2
bird eno cultivation ki jankari den,2
DISEASE OF DUCK,2
murgi palan karna chhate hai,2
aimu palan kerna hai,2
farming of duck,2
farmer want to know about emu farming,2
fish ke bare m jankari,2
AVAILABILITY OF CHICKS,2
ASKING ABOUT SUGGESTION TO INCREASE MILK OF MILK,2
INFORMATION REGARDING CONTROL OF APHIDS IN BELL PEPPER,2
INFORMATION REGARDING  SOWING SEASON OF AONLA,2
TEst CAll,2
connect  to leval-2,2
asked for hen cultivation subsidy,2
HOW TO IMPROVE MILK OUR BUFFALO,2
information regarding new plan of govt,2
INFORMATION REGRDING WHICH INSECTICIDE AFTER CONTAF USED IN APPLE TREES AT PEAT SIZE STAGE,2
gives contact no of emu rfarmer association pune,2
INFORMATION REGARDING CONTROL OF ROOT ROT IN BHINDI,2
to know about the rain fall status in durg dist ,2
information about rabit rearing,2
DISEASE OF POULTRY,2
information about emu farm,2
emu bird farming,2
CALL DIS,2
ASKED ABOUT CULTIVATION PRACTICES OF CHICKEN,2
INFORMATION REGARDING CONTROL CATERPILLER IN BLACK GRAM,2
murgi palan ki jankari,2
kisan call center kai barai mai jankari dai,2
ASKED ABOUT PREVENTIVE MEASURES OF GILL ROT DISEASE IN CARPS,2
ASKING ABOUT SOLUTION FOR SUDDEN DEATH OF GOATS,2
ASKING FOR THE COMPONENTS REQUIRED FOR BIO GAS PLANT GOBAR GAS,2
khargos palan ke bare mein jankari chahiye,2
pashu mela uttrakhand mai kaha lagta hai,2
phalo ko kis rasayan se pakaya jata hai,2
 FARMER WANTS INFORMATION ABOUT   COW HAS FEVER HAVING REDDISH EYES,2
INFORMATION REGARDING  CONTROL ROOT ROT IN APPLE,2
chicken,2
phalo ko kaise pakaya jata hai,2
availbility of poultry,2
 INFORMATION REGRDING SHORTAGE OF DAP,2
duck is not lay eggs,2
HOW TO CONTROL WOOLY APHID IN APPLE ORCHARD ,2
INFORMATION REGARDING CUT WORM IN SOIL,2
pashu ka dudh nahi aa raha hai,2
INFORMATION REGARDING HOW TO TEST BORDEAUX MIXTURE ,2
asked about emu birds,2
asked about emu bird,2
asked about emu birds  available places,2
INFORMATION REGARDING CONTROL OF RATS IN FIELD ,2
no of poultry farm,2
PANT NAGAR KISSAN MELA KAB SE KAB TAK HAIN,2
INFORMATION REGARDING BEE- KEEPING ,2
CONTACT NO OF POULTRY FARM,2
related emu,2
vellore veterinary dept contact no,2
INFORMATION ABOUT EMU,2
poultry farming,2
about emu bird rearing,2
AVAILABILITY OF BANRAJ CHICKS,2
INFORMATION REGARDING SOWING TIME OF ALOEVERA,2
emu bird rearing,2
poutry form information,2
information regarding give me vet contect no ,2
HOW TO IMPROVE MILK OUR BUFFALO ,2
pashu dudh kam de raha hai,2
INFORMATION REGARDING SHORTAGE OF DAP ,2
hatching period of turkey,2
tirunelveli veterinary dept contact no,2
quail availbility,2
INFORMATION ABOUT DUCKERY CULTIVATION,2
chicken availbility,2
