QueryType,Example_Text
3,how to control of yellow moisac in moong
3,how to control termite in wheat
3,what is the control of the semilooper in the soybean 
3,what is the control of the pest in sugarcane 
3,what is the control of the Bihar hairy caterpillar 
3,what are control of cow pea mosaic 
3,what is the control of the Tobacco caterpillar 
3,what is the control of the insect in coriander 
3,how to control yellow moisac in moong
3,how to contro yellow moisac in moong
9999,ASKED WHETHER HE CAN SPRAY FERTILIZER AND A PESTICIDE TOGETHER
9999,ASKED ABOUT CONTROL FOR MOSAIC
9999,ASKED ABOUT THE FERTILISER RECOMMENDATION IN PADDY
9999,ASKED ABOUT CONTROL FOR THRIPS DAMAGE
9999,ASKED ABOUT THE VARITIES IN PADDY
9999,ASKED ABOUT CONTROL FOR JASSIDS
9999,ASKED ABOUT CONTROL FOR BROWN SPOT
9999,ASKED ABOUT CONTROL FOR APHIDS DAMAGE
9999,ASKED ABOUT CONTROL FOR Mg DEFICIENCY
9999,ASKED ABOUT CONTROL FOR DIE-BACK FRUITROT
76,how to control fruit borer in brinjal
76,how to control white fly in brinjal
76,how to control chilli thrips
76,how to control sucking pest in bottle gourd
76,how to control becterial blight in tomato
76,how to control shoot and fruit borer in brinjal
76,how to control sucking pest in moong
76,how to copntrol caterpillar in aonla
76,how to control leaf curl in tomato
76,what is the control of the Semilooper 
0,ASKED ABOUT RICE CULTURAL PRACTICES
0,ASKED ABOUT RICE NURSERY MANAGENMANT
0,ASKED ABOUT STEM APPLICATION IN COTTON
0,ASKED ABOUT CULTURAL PRACTICES IN BLACK GRAM
0,ASKED ABOUT CULTURAL PRACTICES IN BANANA
0,ASKED ABOUT CULTURAL PRACTICES IN RADISH
0,ASKED ABOUT WEATHER REPORT
0,ASKED ABOUT AVAILABILITY OF EQUIPMENTS
0,ASKED ABOUT WEEDICIDES IN GROUND NUT
0,FRUIT ROT IN CHILLI
75,how to control powdery mildew in bottle gourd
75,what are control of cauliflower yellow leaf 
75,What is the control of fruit dropping in mango
75,how to control yellowvein mosaic of bhindi
75,how to control fruit drop in jackfruit
75,What is the control of yellow mosaic in bhindi
75,how to control becterial blight in brinjal
75,What is the control of purple blotches in onion
75,FRUIT CRACKING IN MANGO
75,blight
2,how to contol of altenariya leasf spot in cotton
2,how to control of naerosis in soybean
2,Control against pod borer
2,Leaf blight
2,ask with on maize 
2,infection of tambera in wheat 
2,Control for leaf blight
2,red leaf of cotton
2,red leaf of cotton 
2,control measure for gram dumping of or wilt disease
10,ASKED ABOUT THE SEED TREATMENT
10,ASKED ABOUT VARIETIES
10,IN GREENGRAM LOWER SIDE PODS ARE PRESENTTOP PORTION FLOWERS ARE PRESENT WHETHER TO HARVEST OR NOT
10,ASKED ABOUT CONTROL FOR RICE STEM BORER
10,ASKED ABOUT THE CONTROL OF STEM BORER
10,ASKING ABOUT TRAINING PROGRAMME FOR VALU ADDATIVE OF VEGETABLES
10,PEA POD BORER FEED ON THE SEED POD UNFIT FOR CONSUMPTION
10,method of improving storage life in mango and guava
10,Asking sucking pest in cotton
10,ASk for control aphid and thrips in cotton
11,ASKED ABOUT CONTROL OF SHEATH ROT
11,ASKING ABOUT THE HERVESTING PERIOD OF HYBRID RICE ARIZE-6444
11,HARVESTING CONDITION IN ARHAR
11,KNOWLEDGE ABOUT CULTIVATION OF POTATO
11,Asking harvesting period of safflower
11,Ask About herbicide in Wheat
11,Asking harvesting period of bt cotton
11,Asking about harvesting period of moong
11,Asking harvesting period of summer groundnut
11,Ask about maturity days of groundnut
