Crop,Total Queries,Number of Themes,Top Question,CSV File,Visualization
Others,1345845,5,infortion about pm kisan samman nidhi yojana,Others_faq.csv,Others_faq.png
Wheat,477571,5,farmer asked query on weather,Wheat_faq.csv,Wheat_faq.png
Paddy Dhan,440289,5,farmer asked query on weather,Paddy_Dhan_faq.csv,Paddy_Dhan_faq.png
Sugarcane Noble Cane,212549,5,information about in sugarcane crop,Sugarcane_Noble_Cane_faq.csv,Sugarcane_Noble_Cane_faq.png
Potato,131322,5,information about the control of blight potato in crop,Potato_faq.csv,Potato_faq.png
Mango,101785,5,plant portection in mango,Mango_faq.csv,Mango_faq.png
Mustard,97834,5,information about in mustard crop,Mustard_faq.csv,Mustard_faq.png
Paddy (Dhan),58672,5,farmer asked query on weather,Paddy_Dhan_faq.csv,Paddy_Dhan_faq.png
Mentha,58003,5,information about  mentha is planted in the crop,Mentha_faq.csv,Mentha_faq.png
BovineCowBuffalo,53197,5,ask about animal husbandry information,BovineCowBuffalo_faq.csv,BovineCowBuffalo_faq.png
Brinjal,52950,5,brinjal in insect control,Brinjal_faq.csv,Brinjal_faq.png
Chillies,52723,5,pls tell me control of flower dropping in chilli crop,Chillies_faq.csv,Chillies_faq.png
Maize Makka,37842,5,farmer asked query on weather,Maize_Makka_faq.csv,Maize_Makka_faq.png
Tomato,33368,5,pls tell me control of flower dropping in chilli crop,Tomato_faq.csv,Tomato_faq.png
Black Gram urd bean,32769,5,farmer asked query on weather,Black_Gram_urd_bean_faq.csv,Black_Gram_urd_bean_faq.png
Sunnhemp Patua,30593,5,information about in sugarcane crop,Sunnhemp_Patua_faq.csv,Sunnhemp_Patua_faq.png
Pea Vegetable,23596,5,pls tell me control of flower dropping in chilli crop,Pea_Vegetable_faq.csv,Pea_Vegetable_faq.png
Green Gram Moong Bean Moong,22820,5,farmer asked query on weather,Green_Gram_Moong_Bean_Moong_faq.csv,Green_Gram_Moong_Bean_Moong_faq.png
Groundnut pea nutmung phalli,22807,5,farmer asked query on weather,Groundnut_pea_nutmung_phalli_faq.csv,Groundnut_pea_nutmung_phalli_faq.png
Onion,21950,5,plant diseaseattack in crop,Onion_faq.csv,Onion_faq.png
Pearl Millet BajraBulrush MilletSpiked Millet,18782,5,farmer asked query on weather,Pearl_Millet_BajraBulrush_MilletSpiked_Millet_faq.csv,Pearl_Millet_BajraBulrush_MilletSpiked_Millet_faq.png
Bottle Gourd ,18672,5,information about pest management in bottle gourd,Bottle_Gourd__faq.csv,Bottle_Gourd__faq.png
BhindiOkraLadysfinger,17702,5,insect control in  crops,BhindiOkraLadysfinger_faq.csv,BhindiOkraLadysfinger_faq.png
Indian rapeseed and mustard yellow sarson,17311,5,information about in mustard crop,Indian_rapeseed_and_mustard_yellow_sarson_faq.csv,Indian_rapeseed_and_mustard_yellow_sarson_faq.png
Bengal Gram GramChick PeaKabuliChana,17188,5,pls tell me control of flower dropping in chilli crop,Bengal_Gram_GramChick_PeaKabuliChana_faq.csv,Bengal_Gram_GramChick_PeaKabuliChana_faq.png
Sugarcane (Noble Cane),17180,5,information about in sugarcane crop,Sugarcane_Noble_Cane_faq.csv,Sugarcane_Noble_Cane_faq.png
Maize (Makka),15200,5,farmer asked query on weather,Maize_Makka_faq.csv,Maize_Makka_faq.png
Banana,14398,5,pls tell me control of flower dropping in chilli crop,Banana_faq.csv,Banana_faq.png
Papaya,14289,5,whet ki varieties,Papaya_faq.csv,Papaya_faq.png
Cauliflower,13437,5,pls tell me control of flower dropping in chilli crop,Cauliflower_faq.csv,Cauliflower_faq.png
Cucumber,11877,5,insect control in  crops,Cucumber_faq.csv,Cucumber_faq.png
Garlic,11706,5,plant diseaseattack in crop,Garlic_faq.csv,Garlic_faq.png
Guava,11455,5,pls tell me control of flower dropping in chilli crop,Guava_faq.csv,Guava_faq.png
Bitter Gourd,11042,5,information about pest management in bottle gourd,Bitter_Gourd_faq.csv,Bitter_Gourd_faq.png
Pigeon pea red gramarhartur,10783,5,pls tell me control of flower dropping in chilli crop,Pigeon_pea_red_gramarhartur_faq.csv,Pigeon_pea_red_gramarhartur_faq.png
Pigeon pea (red gram/arhar/tur),10677,5,insect control in  crops,Pigeon_pea_red_gram_arhar_tur_faq.csv,Pigeon_pea_red_gram_arhar_tur_faq.png
Green Gram (Moong Bean/ Moong),10475,5,farmer asked query on weather,Green_Gram_Moong_Bean__Moong_faq.csv,Green_Gram_Moong_Bean__Moong_faq.png
Lemon,9638,5,pls tell me control of flower dropping in chilli crop,Lemon_faq.csv,Lemon_faq.png
Bhindi(Okra/Ladysfinger),9580,5,insect control in  crops,BhindiOkra_Ladysfinger_faq.csv,BhindiOkra_Ladysfinger_faq.png
Citrus,8721,5,pls tell me control of flower dropping in chilli crop,Citrus_faq.csv,Citrus_faq.png
Pomegranate,8291,5,pls tell me control of flower dropping in chilli crop,Pomegranate_faq.csv,Pomegranate_faq.png
Lentil Masur,7877,5,pls tell me control of flower dropping in chilli crop,Lentil_Masur_faq.csv,Lentil_Masur_faq.png
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),7819,5,insect control in  crops,Bengal_Gram_Gram_Chick_Pea_Kabuli_Chana_faq.csv,Bengal_Gram_Gram_Chick_Pea_Kabuli_Chana_faq.png
Jack Fruit,7619,5,pls tell me control of flower dropping in chilli crop,Jack_Fruit_faq.csv,Jack_Fruit_faq.png
Sesame GingellyTilSesamum,7375,5,farmer asked query on weather,Sesame_GingellyTilSesamum_faq.csv,Sesame_GingellyTilSesamum_faq.png
Tobacco,7080,5,farmer asked query on weather,Tobacco_faq.csv,Tobacco_faq.png
Pointed Gourd,7035,5,information about pest management in bottle gourd,Pointed_Gourd_faq.csv,Pointed_Gourd_faq.png
Pumpkin,6736,5,insect control in  crops,Pumpkin_faq.csv,Pumpkin_faq.png
Aonla,6487,5,pls tell me control of flower dropping in chilli crop,Aonla_faq.csv,Aonla_faq.png
Peas field peas garden peasmatar,6485,5,farmer asked query on weather,Peas_field_peas_garden_peasmatar_faq.csv,Peas_field_peas_garden_peasmatar_faq.png
Radish,6060,5,insect control in  crops,Radish_faq.csv,Radish_faq.png
Mushroom,5743,5,plant diseaseattack in crop,Mushroom_faq.csv,Mushroom_faq.png
Coriander,5585,5,pls tell me control of flower dropping in chilli crop,Coriander_faq.csv,Coriander_faq.png
Bail,5384,5,pls tell me control of flower dropping in chilli crop,Bail_faq.csv,Bail_faq.png
Watermelon,5252,5,pls tell me control of flower dropping in chilli crop,Watermelon_faq.csv,Watermelon_faq.png
Marigold,5105,5,pls tell me control of flower dropping in chilli crop,Marigold_faq.csv,Marigold_faq.png
Soybean bhat,4835,5,farmer asked query on weather,Soybean_bhat_faq.csv,Soybean_bhat_faq.png
Bottle Gourd,4657,5,information about pest management in bottle gourd,Bottle_Gourd_faq.csv,Bottle_Gourd_faq.png
Raya Indian Mustard,4074,5,information about in mustard crop,Raya_Indian_Mustard_faq.csv,Raya_Indian_Mustard_faq.png
Goat,3995,5,ask about animal husbandry information,Goat_faq.csv,Goat_faq.png
Eculeptous,3864,5,pls tell me control of flower dropping in chilli crop,Eculeptous_faq.csv,Eculeptous_faq.png
Colocasia Arvi Arbi,3602,5,insect control in  crops,Colocasia_Arvi_Arbi_faq.csv,Colocasia_Arvi_Arbi_faq.png
Dhaincha,3502,5,seed rate and seed treatment,Dhaincha_faq.csv,Dhaincha_faq.png
Black Gram (urd bean),3422,5,farmer asked query on weather,Black_Gram_urd_bean_faq.csv,Black_Gram_urd_bean_faq.png
Poplar,3363,5,pls tell me control of flower dropping in chilli crop,Poplar_faq.csv,Poplar_faq.png
Rose,3327,5,pls tell me control of flower dropping in chilli crop,Rose_faq.csv,Rose_faq.png
Cotton Kapas,3290,5,insect control in  crops,Cotton_Kapas_faq.csv,Cotton_Kapas_faq.png
Fresh Water,3239,5,ask about animal husbandry information,Fresh_Water_faq.csv,Fresh_Water_faq.png
Capsicum,3217,5,pls tell me control of flower dropping in chilli crop,Capsicum_faq.csv,Capsicum_faq.png
Sorghum JowarGreat Millet,3175,5,farmer asked query on weather,Sorghum_JowarGreat_Millet_faq.csv,Sorghum_JowarGreat_Millet_faq.png
Toria,3125,5,whet ki varieties,Toria_faq.csv,Toria_faq.png
Mint,3110,5,information about  mentha is planted in the crop,Mint_faq.csv,Mint_faq.png
Barley Jau,3103,5,informaion about of wheat crop variety,Barley_Jau_faq.csv,Barley_Jau_faq.png
POULTRY  FARM ,3071,5,for information regarding farmer registry,POULTRY__FARM__faq.csv,POULTRY__FARM__faq.png
Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),3060,5,farmer asked query on weather,Pearl_Millet_Bajra_Bulrush_Millet_Spiked_Millet_faq.csv,Pearl_Millet_Bajra_Bulrush_Millet_Spiked_Millet_faq.png
Sponge Gourd,2929,5,information about pest management in bottle gourd,Sponge_Gourd_faq.csv,Sponge_Gourd_faq.png
Musk Melon,2898,5,insect control in  crops,Musk_Melon_faq.csv,Musk_Melon_faq.png
Groundnut (pea nut/mung phalli),2851,5,farmer asked query on weather,Groundnut_pea_nut_mung_phalli_faq.csv,Groundnut_pea_nut_mung_phalli_faq.png
Bovine(Cow/Buffalo),2692,5,aame ki pati kala ho raha hai,BovineCow_Buffalo_faq.csv,BovineCow_Buffalo_faq.png
Cabbage,2652,5,insect control in  crops,Cabbage_faq.csv,Cabbage_faq.png
Barseem,2649,5,information about sowing time in any vegetable crop,Barseem_faq.csv,Barseem_faq.png
Lentil (Masur),2619,5,insect control in  crops,Lentil_Masur_faq.csv,Lentil_Masur_faq.png
